797	572	814	589	831	606	848	623	865	640	882	657	899	674	1	451	18	468	35	260	52	277	69	294	86	311	103	328	120	345
122	347	139	364	156	381	173	398	190	415	207	432	224	449	676	226	693	243	710	485	727	502	744	519	761	536	778	553	795	570
813	588	830	605	847	622	864	639	881	656	898	673	690	465	17	467	34	484	51	276	68	293	85	310	102	327	119	344	121	346
138	363	155	380	172	397	189	414	206	431	223	448	15	240	692	242	709	259	726	501	743	518	760	535	777	552	794	569	796	571
829	604	846	621	863	638	880	655	897	672	689	464	691	466	33	483	50	500	67	292	84	309	101	326	118	343	135	360	137	362
154	379	171	396	188	413	205	430	222	447	14	239	16	241	708	258	725	275	742	517	759	534	776	551	793	568	810	585	812	587
845	620	862	637	879	654	896	671	688	463	705	480	707	482	49	499	66	516	83	308	100	325	117	342	134	359	136	361	153	378
170	395	187	412	204	429	221	446	13	238	30	255	32	257	724	274	741	291	758	533	775	550	792	567	809	584	811	586	828	603
861	636	878	653	895	670	687	462	704	479	706	481	723	498	65	515	82	532	99	324	116	341	133	358	150	375	152	377	169	394
186	411	203	428	220	445	12	237	29	254	31	256	48	273	740	290	757	307	774	549	791	566	808	583	825	600	827	602	844	619
877	652	894	669	686	461	703	478	720	495	722	497	739	514	81	531	98	548	115	340	132	357	149	374	151	376	168	393	185	410
202	427	219	444	11	236	28	253	45	270	47	272	64	289	756	306	773	323	790	565	807	582	824	599	826	601	843	618	860	635
893	668	685	460	702	477	719	494	721	496	738	513	755	530	97	547	114	564	131	356	148	373	165	390	167	392	184	409	201	426
218	443	10	235	27	252	44	269	46	271	63	288	80	305	772	322	789	339	806	581	823	598	840	615	842	617	859	634	876	651
9	459	701	476	718	493	735	510	737	512	754	529	771	546	788	563	130	580	147	372	164	389	166	391	183	408	200	425	217	442
684	234	26	251	43	268	60	285	62	287	79	304	96	321	113	338	805	355	822	597	839	614	841	616	858	633	875	650	892	667
700	475	717	492	734	509	736	511	753	528	770	545	787	562	129	579	146	596	163	388	180	405	182	407	199	424	216	441	8	233
25	250	42	267	59	284	61	286	78	303	95	320	112	337	804	354	821	371	838	613	855	630	857	632	874	649	891	666	683	458
716	491	733	508	750	525	752	527	769	544	786	561	803	578	145	595	162	612	179	404	181	406	198	423	215	440	7	232	24	249
41	266	58	283	75	300	77	302	94	319	111	336	128	353	820	370	837	387	854	629	856	631	873	648	890	665	682	457	699	474
732	507	749	524	751	526	768	543	785	560	802	577	819	594	161	611	178	628	195	420	197	422	214	439	6	231	23	248	40	265
57	282	74	299	76	301	93	318	110	335	127	352	144	369	836	386	853	403	870	645	872	647	889	664	681	456	698	473	715	490
748	523	765	540	767	542	784	559	801	576	818	593	835	610	177	627	194	644	196	421	213	438	5	230	22	247	39	264	56	281
73	298	90	315	92	317	109	334	126	351	143	368	160	385	852	402	869	419	871	646	888	663	680	455	697	472	714	489	731	506
764	539	766	541	783	558	800	575	817	592	834	609	851	626	193	643	210	660	212	437	4	229	21	246	38	263	55	280	72	297
89	314	91	316	108	333	125	350	142	367	159	384	176	401	868	418	885	435	887	662	679	454	696	471	713	488	730	505	747	522
780	555	782	557	799	574	816	591	833	608	850	625	867	642	209	659	211	661	3	228	20	245	37	262	54	279	71	296	88	313
105	330	107	332	124	349	141	366	158	383	175	400	192	417	884	434	886	436	678	453	695	470	712	487	729	504	746	521	763	538
781	556	798	573	815	590	832	607	849	624	866	641	883	658	225	675	2	452	19	244	36	261	53	278	70	295	87	312	104	329
106	331	123	348	140	365	157	382	174	399	191	416	208	433	900	450	677	227	694	469	711	486	728	503	745	520	762	537	779	554
 
